sku,category name,model_number,name,currency,original price,original stock,max_order_quantity,total_reviews,average_rating,image,url
1001726414,Drills,2904-20,M18 FUEL 18V Lithium-Ion Brushless Cordless Next Generation 1/2 in. Hammer Drill/Driver (Tool Only),CAD,228.0,8,,464,4.7198,https://images.homedepot.ca/productimages/p_1001726414.jpg,https://www.homedepot.ca/product/milwaukee-tool-m18-fuel-18v-lithium-ion-brushless-cordless-next-generation-1-2-in-hammer-drill-driver-tool-only-/1001726414
1001625327,Drills,2912-20,M18 FUEL 18V Lithium-Ion Brushless Cordless 1 -inch SDS-Plus Rotary Hammer (Tool-Only),CAD,498.0,3,,401,4.7731,https://images.homedepot.ca/productimages/p_1001625327.jpg,https://www.homedepot.ca/product/milwaukee-tool-m18-fuel-18v-lithium-ion-brushless-cordless-1-inch-sds-plus-rotary-hammer-tool-only-/1001625327
1001686659,Drills,PCL206K1,18V ONE+ Lithium-Ion Cordless Drill/Driver Kit with 1.5 Ah Battery and Charger,CAD,78.0,1,,913,4.7634,https://images.homedepot.ca/productimages/p_1001686659.jpg,https://www.homedepot.ca/product/ryobi-18v-one-lithium-ion-cordless-drill-driver-kit-with-1-5-ah-battery-and-charger/1001686659
1001770010,Drills,DCD799D1,"20V MAX ATOMIC Lithium-Ion Compact 1/2-inch Hammer Drill Kit with (1) 2.0Ah Battery, Charger and Bag",CAD,149.0,3,,7,3.8571,https://images.homedepot.ca/productimages/p_1001770010.jpg,https://www.homedepot.ca/product/dewalt-20v-max-atomic-lithium-ion-compact-1-2-inch-hammer-drill-kit-with-1-2-0ah-battery-charger-and-bag/1001770010
1000492168,Drills,2401-22,M12 12-Volt Lithium-Ion Cordless 1/4 in. Hex Screwdriver Kit w/ (2) 1.5Ah Batteries & Charger & Bag,CAD,138.0,0,,1716,4.6941,https://images.homedepot.ca/productimages/p_1000492168.jpg,https://www.homedepot.ca/product/milwaukee-tool-m12-12-volt-lithium-ion-cordless-1-4-in-hex-screwdriver-kit-w-2-1-5ah-batteries-charger-bag/1000492168
1001553484,Drills,DCD999B,20V MAX FLEXVOLT ADVANTAGE Lithium-Ion Cordless Brushless 1/2-inch 3-Speed Hammer Drill/Driver (Tool-Only),CAD,219.0,3,,203,4.601,https://images.homedepot.ca/productimages/p_1001553484.jpg,https://www.homedepot.ca/product/dewalt-20v-max-flexvolt-advantage-lithium-ion-cordless-brushless-1-2-inch-3-speed-hammer-drill-driver-tool-only-/1001553484
1001692017,Drills,PSBRH01B,18V ONE+ HP Compact Brushless 5/8-inch SDS-Plus Rotary Hammer Drill (Tool-Only),CAD,179.0,7,,93,4.4839,https://images.homedepot.ca/productimages/p_1001692017.jpg,https://www.homedepot.ca/product/ryobi-18v-one-hp-compact-brushless-5-8-inch-sds-plus-rotary-hammer-drill-tool-only-/1001692017
1001534805,Drills,PDD209K,18V ONE+ Cordless 3/8-inch Drill/Driver Kit with 1.5 Ah Battery and Charger,CAD,68.0,0,,2275,4.4426,https://images.homedepot.ca/productimages/p_1001534805.jpg,https://www.homedepot.ca/product/ryobi-18v-one-cordless-3-8-inch-drill-driver-kit-with-1-5-ah-battery-and-charger/1001534805
1000788067,Drills,DP103L,10-Inch Drill Press with Laser,CAD,199.0,8,,1094,4.1472,https://images.homedepot.ca/productimages/p_1000788067.jpg,https://www.homedepot.ca/product/ryobi-10-inch-drill-press-with-laser/1000788067
1001618600,Drills,DCH172B,20V MAX ATOMIC Lithium-Ion Cordless Brushless 5/8-inch SDS Plus Rotary Hammer (Tool-Only),CAD,229.0,2,,298,4.4966,https://images.homedepot.ca/productimages/p_1001618600.jpg,https://www.homedepot.ca/product/dewalt-20v-max-atomic-lithium-ion-cordless-brushless-5-8-inch-sds-plus-rotary-hammer-tool-only-/1001618600
1001303706,Drills,2607-21CT,"M18 Lithium-Ion Cordless 1/2-inch Hammer Drill Driver Kit with 1.5Ah Battery, Charger and Hard Case",CAD,119.0,8,,62,4.629,https://images.homedepot.ca/productimages/p_1001303706.jpg,https://www.homedepot.ca/product/milwaukee-tool-m18-lithium-ion-cordless-1-2-inch-hammer-drill-driver-kit-with-1-5ah-battery-charger-and-hard-case/1001303706
1001210114,Drills,R1500,15-Inch Drill Press with LED,CAD,659.0,0,,207,4.1739,https://images.homedepot.ca/productimages/p_1001210114.jpg,https://www.homedepot.ca/product/ridgid-15-inch-drill-press-with-led/1001210114
1001708050,Drills,FVD50K,USB Lithium Screwdriver Kit,CAD,59.98,1,,1311,4.1831,https://images.homedepot.ca/productimages/p_1001708050.jpg,https://www.homedepot.ca/product/ryobi-usb-lithium-screwdriver-kit/1001708050
1001057417,Drills,DF001DW,1/4-inch Lithium-Ion Cordless Screwdriver Kit with 81-Piece Accessory Set and Plastic Carrying Case,CAD,59.98,0,,76,4.4342,https://images.homedepot.ca/productimages/p_1001057417.jpg,https://www.homedepot.ca/product/makita-1-4-inch-lithium-ion-cordless-screwdriver-kit-with-81-piece-accessory-set-and-plastic-carrying-case/1001057417
1001076569,Drills,KC-108N,8 Inch Bench Drill Press,CAD,148.0,0,,24,4.2083,https://images.homedepot.ca/productimages/p_1001076569.jpg,https://www.homedepot.ca/product/king-canada-8-inch-bench-drill-press/1001076569
1000859539,Drills,2101-22,1/4 inch M4 Hex Screwdriver Kit,CAD,199.0,0,,636,4.4874,https://images.homedepot.ca/productimages/p_1000859539.jpg,https://www.homedepot.ca/product/milwaukee-tool-1-4-inch-m4-hex-screwdriver-kit/1000859539
1001612232,Drills,PSBDD01B,18V ONE+ HP Brushless Cordless Compact Drill/Driver (Tool-Only),CAD,119.0,0,,81,4.7778,https://images.homedepot.ca/productimages/p_1001612232.jpg,https://www.homedepot.ca/product/ryobi-18v-one-hp-brushless-cordless-compact-drill-driver-tool-only-/1001612232
1001707974,Drills,R86712B,18V Brushless 1-inch SDS-Plus Rotary Hammer (Tool-Only),CAD,319.0,4,,71,4.7183,https://images.homedepot.ca/productimages/p_1001707974.jpg,https://www.homedepot.ca/product/ridgid-18v-brushless-1-inch-sds-plus-rotary-hammer-tool-only-/1001707974
1001560526,Drills,2612-20,M18 18V Lithium-Ion Cordless 5/8-inch SDS-Plus Rotary Hammer (Tool Only),CAD,268.0,0,,115,4.4348,https://images.homedepot.ca/productimages/p_1001560526.jpg,https://www.homedepot.ca/product/milwaukee-tool-m18-18v-lithium-ion-cordless-5-8-inch-sds-plus-rotary-hammer-tool-only-/1001560526
1001665628,Drills,PSBHM01K,18V ONE+ HP Brushless Cordless Compact 1/2 in. Hammer Drill Kit with 1.5 Ah Battery and Charger,CAD,169.0,0,,136,4.7868,https://images.homedepot.ca/productimages/p_1001665628.jpg,https://www.homedepot.ca/product/ryobi-18v-one-hp-brushless-cordless-compact-1-2-in-hammer-drill-kit-with-1-5-ah-battery-and-charger/1001665628
